dataset,held_out,bal_acc,ECE,Brier,cov_marginal,cov_balanced,set_size,AURC
UAV-NIDD,BruteForce,0.9984,0.0007,0.0008,0.6317,0.3747,0.6317,0.0
UAV-NIDD,DDoS,0.9742,0.0422,0.0346,0.0262,0.0648,0.0262,0.0043
UAV-NIDD,De-authentication,0.9989,0.0003,0.0002,0.79,0.4611,0.79,0.0
UAV-NIDD,Jamming,0.972,0.0519,0.0444,0.006,0.073,0.006,0.0083
UAV-NIDD,MITM,0.9985,0.0008,0.0006,0.3846,0.25,0.3846,0.0002
UAV-NIDD,UDP Flooding,0.9988,0.0002,0.0,0.8268,0.508,0.8268,0.0
UAVIDS-2025,Blackhole Attack,0.7306,0.405,0.3903,0.4083,0.5989,0.4083,0.1896
UAVIDS-2025,Flooding Attack,0.9929,0.0081,0.0053,0.7176,0.7614,0.7176,0.0002
UAVIDS-2025,Sybil Attack,0.9937,0.0037,0.0043,0.9116,0.8743,0.9118,0.0001
UAVIDS-2025,Wormhole Attack,0.9057,0.1541,0.1563,0.635,0.7201,0.6433,0.0341
