dataset,held_out,bal_acc,ECE,Brier,cov_marg,cov_bal,set_size,AURC
UAV-NIDD,BruteForce,0.998 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,0.656 ± 0.035,0.422 ± 0.040,0.656 ± 0.035,0.000 ± 0.000
UAV-NIDD,DDoS,0.969 ± 0.017,0.051 ± 0.027,0.044 ± 0.027,0.065 ± 0.075,0.053 ± 0.038,0.065 ± 0.075,0.005 ± 0.004
UAV-NIDD,De-authentication,0.998 ± 0.001,0.000 ± 0.000,0.000 ± 0.000,0.285 ± 0.197,0.171 ± 0.110,0.285 ± 0.197,0.000 ± 0.000
UAV-NIDD,Jamming,0.969 ± 0.008,0.047 ± 0.014,0.045 ± 0.010,0.001 ± 0.001,0.010 ± 0.014,0.001 ± 0.001,0.009 ± 0.006
UAV-NIDD,MITM,0.995 ± 0.003,0.004 ± 0.002,0.004 ± 0.002,0.151 ± 0.316,0.099 ± 0.179,0.151 ± 0.316,0.001 ± 0.000
UAV-NIDD,UDP Flooding,0.998 ± 0.001,0.000 ± 0.000,0.000 ± 0.000,0.802 ± 0.038,0.434 ± 0.039,0.802 ± 0.038,0.000 ± 0.000
UAVIDS-2025,Blackhole Attack,0.731 ± 0.019,0.405 ± 0.043,0.390 ± 0.039,0.408 ± 0.001,0.599 ± 0.005,0.408 ± 0.001,0.190 ± 0.013
UAVIDS-2025,Flooding Attack,0.993 ± 0.002,0.008 ± 0.003,0.005 ± 0.003,0.718 ± 0.027,0.761 ± 0.014,0.718 ± 0.027,0.000 ± 0.000
UAVIDS-2025,Sybil Attack,0.994 ± 0.001,0.004 ± 0.000,0.004 ± 0.000,0.912 ± 0.028,0.874 ± 0.018,0.912 ± 0.028,0.000 ± 0.000
UAVIDS-2025,Wormhole Attack,0.906 ± 0.006,0.154 ± 0.015,0.156 ± 0.013,0.635 ± 0.005,0.720 ± 0.010,0.643 ± 0.005,0.034 ± 0.002
