dataset,held_out,cov_baseline,cov_random,cov_low_imp,cov_tsfs,rho,jac,tsfs_vs_random,tsfs_vs_lowimp
UAV-NIDD,BruteForce,0.455,0.574,0.447,0.613,0.608,0.513,0.039,0.166
UAV-NIDD,DDoS,0.044,0.023,0.026,0.036,0.561,0.535,0.013,0.01
UAV-NIDD,De-authentication,0.414,0.435,0.415,0.682,0.53,0.553,0.247,0.267
UAV-NIDD,Jamming,0.105,0.282,0.111,0.712,0.76,0.642,0.43,0.601
UAV-NIDD,MITM,0.158,0.252,0.244,0.224,0.654,0.607,-0.028,-0.02
UAV-NIDD,UDP Flooding,0.428,0.454,0.421,0.564,0.415,0.571,0.11,0.143
UAVIDS-2025,Blackhole Attack,0.597,0.599,0.596,0.592,0.103,0.26,-0.007,-0.004
UAVIDS-2025,Flooding Attack,0.762,0.782,0.75,0.824,0.402,0.5,0.042,0.074
UAVIDS-2025,Sybil Attack,0.869,0.885,0.883,0.892,0.227,0.2,0.007,0.009
UAVIDS-2025,Wormhole Attack,0.712,0.71,0.709,0.698,0.461,0.38,-0.012,-0.011
