model,dataset,held_out,seed,shift_balacc,shift_ECE,shift_cov_marg,shift_cov_bal,seen_cov_marg
RandomForest,UAVIDS-2025,Sybil Attack,0,0.9930697104873583,0.0023791634119500653,0.9401760629331335,0.8815559612933969,0.9163578613022764
RandomForest,UAVIDS-2025,Sybil Attack,1,0.9912221557567739,0.004063107001856131,0.9371043266529313,0.8812148415608149,0.9132992176930769
RandomForest,UAVIDS-2025,Sybil Attack,2,0.9928787250022552,0.0034099280413860114,0.933358306799026,0.8752231389786391,0.9108875948473619
RandomForest,UAVIDS-2025,Sybil Attack,3,0.994277923518424,0.0027078792716599175,0.911106948866829,0.8652707780261779,0.9121228163049232
RandomForest,UAVIDS-2025,Sybil Attack,4,0.9909688701512238,0.0032451293838215746,0.9551226821502153,0.8923951589871469,0.9130639374154461
RandomForest,UAVIDS-2025,Blackhole Attack,0,0.6893846888011846,0.40676957555624016,0.3500765803397382,0.5563652953260271,0.9132871346791203
RandomForest,UAVIDS-2025,Blackhole Attack,1,0.68827861146896,0.42316745115962034,0.3634781397939293,0.573704422056417,0.9176860500150648
RandomForest,UAVIDS-2025,Blackhole Attack,2,0.688813268422163,0.4084974421504326,0.3552283486494013,0.5646982019715027,0.9150949081048508
RandomForest,UAVIDS-2025,Blackhole Attack,3,0.6936908226610167,0.4089042133690164,0.3680381509328878,0.5738073391676924,0.9142512805061765
RandomForest,UAVIDS-2025,Blackhole Attack,4,0.6883546984477438,0.4164232146441179,0.35004177109440265,0.5668281253520175,0.9151551672190419
RandomForest,UAVIDS-2025,Wormhole Attack,0,0.8980501382071302,0.08944345735785948,0.5373467112597548,0.6774173596449237,0.9287349397590361
RandomForest,UAVIDS-2025,Wormhole Attack,1,0.9136318331672162,0.09230471169329864,0.5370680044593088,0.6777794750360607,0.9330722891566265
RandomForest,UAVIDS-2025,Wormhole Attack,2,0.9122333034054895,0.08253170289855072,0.5636845039018952,0.692595163426937,0.9253614457831325
RandomForest,UAVIDS-2025,Wormhole Attack,3,0.9161810933067546,0.07787849145589458,0.5349777034559643,0.6780039777929112,0.9262048192771084
